vector push_back creation with preallocation; mode=3; length=190000; min_time=3000500; mean_time=3252325
vector insert at beginning adding; mode=4; length=190000; min_time=36032900; mean_time=43915062.5
list push_front adding; mode=5; length=190000; min_time=0; mean_time=125375
vector push_back adding; mode=6; length=190000; min_time=0; mean_time=250525
list push_back adding; mode=7; length=190000; min_time=0; mean_time=125125
vector center adding; mode=8; length=190000; min_time=18015900; mean_time=18641812.5
list center adding; mode=9; length=190000; min_time=753687500; mean_time=782338262.5
random numbers generation; mode=10; length=190000; min_time=0; mean_time=0
vector random elements access; mode=11; length=190000; min_time=0; mean_time=0
list random elements access; mode=12; length=190000; min_time=124112900; mean_time=128992600
free test; mode=0; length=200000; min_time=0; mean_time=500475
vector push_back creation; mode=1; length=200000; min_time=2001700; mean_time=2126937.5
list push_back creation; mode=2; length=200000; min_time=15013900; mean_time=15889387.5
vector push_back creation with preallocation; mode=3; length=200000; min_time=2001700; mean_time=2502225
vector insert at beginning adding; mode=4; length=200000; min_time=38034200; mean_time=38784987.5
list push_front adding; mode=5; length=200000; min_time=0; mean_time=0
vector push_back adding; mode=6; length=200000; min_time=0; mean_time=250087.5
list push_back adding; mode=7; length=200000; min_time=0; mean_time=250750
vector center adding; mode=8; length=200000; min_time=19016900; mean_time=24146512.5
list center adding; mode=9; length=200000; min_time=787718500; mean_time=887058737.5
random numbers generation; mode=10; length=200000; min_time=0; mean_time=125150
vector random elements access; mode=11; length=200000; min_time=0; mean_time=125100
list random elements access; mode=12; length=200000; min_time=126115000; mean_time=135373937.5
